,AdmArea,District,Address,PropertyType,ObjectArea,Note,global_id,coordinates
934,Северо-Восточный административный округ,Лосиноостровский,"город Москва, улица Лётчика Бабушкина, дом 38, корпус 2",помещение,187.1,,930629256,"[37.6793705551746, 55.8723644796959]"
935,Северо-Восточный административный округ,Бутырский,"город Москва, улица Гончарова, дом 17, корпус 4",помещение,89.7,,930629262,"[37.5901232012029, 55.8159278503266]"
936,Северо-Восточный административный округ,Бибирево,"город Москва, улица Плещеева, дом 16",помещение,49.7,,930629272,"[37.61334369922, 55.88695575649]"
937,Северо-Восточный административный округ,Ростокино,"город Москва, Сельскохозяйственная улица, дом 11, корпус 2",помещение,127.8,,930629288,"[37.6435501709019, 55.8346007031557]"
938,Северо-Восточный административный округ,Марьина Роща,"город Москва, улица Сущёвский Вал, дом 14/22, корпус 7",помещение,80.7,,930629297,"[37.600683926787, 55.7920746138012]"
939,Южный административный округ,Даниловский,"город Москва, Восточная улица, дом 5",помещение,87.4,,930629311,"[37.6608726613276, 55.7150947324848]"
940,Южный административный округ,Донской,"город Москва, Варшавское шоссе, дом 21",помещение,25.7,,930629322,"[37.6222468708225, 55.6953187458947]"
941,Центральный административный округ,Басманный,"город Москва, Бауманская улица, дом 33/2, строение 8",помещение,135.8,-,1016278837,"[37.6799990502144, 55.7724271549741]"
942,Северо-Западный административный округ,Хорошево-Мневники,"город Москва, бульвар Генерала Карбышева, дом 19, корпус 1",помещение,30.7,-,1016278839,"[37.470467274405, 55.7828073748137]"
943,Северо-Западный административный округ,Хорошево-Мневники,"город Москва, бульвар Генерала Карбышева, дом 19, корпус 1",помещение,90.0,,1016278841,"[37.470467274405, 55.7828073748137]"
944,Северо-Западный административный округ,Северное Тушино,"город Москва, улица Героев Панфиловцев, дом 9, корпус 3",помещение,56.8,-,1016278855,"[37.4330996587926, 55.8542976476742]"
945,Северо-Западный административный округ,Северное Тушино,"город Москва, улица Героев Панфиловцев, дом 9, корпус 3",помещение,69.1,-,1016278856,"[37.4330996587926, 55.8542976476742]"
946,Северо-Западный административный округ,Южное Тушино,"город Москва, улица Фабрициуса, дом 9",помещение,195.9,-,1016279683,"[37.4414000186067, 55.843021348231]"
947,Северо-Западный административный округ,Строгино,"город Москва, улица Кулакова, дом 3, корпус 2",помещение,1033.7,-,1016281807,"[37.40452166546, 55.8137847869587]"
948,Северо-Западный административный округ,Щукино,"город Москва, улица Маршала Бирюзова, дом 35, корпус 2",помещение,61.5,-,1016547090,"[37.4850928987063, 55.7963936595413]"
949,Восточный административный округ,Перово,"город Москва, Зелёный проспект, дом 6, корпус 1",помещение,38.3,-,1016547095,"[37.7735755569186, 55.7484366292948]"
950,Восточный административный округ,Измайлово,"город Москва, 9-я Парковая улица, дом 52, корпус 1",помещение,17.1,-,1016548201,"[37.7996249151536, 55.8012781270768]"
951,Восточный административный округ,Метрогородок,"город Москва, Открытое шоссе, дом 25, корпус 6",помещение,48.9,-,1016548203,"[37.7595162927685, 55.8269963873415]"
952,Восточный административный округ,Перово,"город Москва, Новогиреевская улица, дом 24, корпус 4",помещение,193.8,-,1016548205,"[37.7935184532121, 55.7566132664573]"
953,Восточный административный округ,Измайлово,"город Москва, 9-я Парковая улица, дом 5, корпус 2",помещение,181.1,-,1016548208,"[37.7977930272563, 55.7900806828714]"
954,Восточный административный округ,Северное Измайлово,"город Москва, 15-я Парковая улица, дом 39",помещение,15.1,-,1016548211,"[37.817716021674, 55.8043276110843]"
955,Восточный административный округ,Перово,"город Москва, Мастеровая улица, дом 15",помещение,128.1,-,1016548213,"[37.7551371195095, 55.7444410807567]"
956,Зеленоградский административный округ,Силино,"город Москва, город Зеленоград, улица Гоголя, дом 11А",помещение,45.2,-,1016548216,"[37.1715312192619, 55.9875573050965]"
957,Зеленоградский административный округ,Крюково,"город Москва, город Зеленоград, корпус 2028",помещение,177.5,-,1016548217,"[37.1696263145082, 55.9744816414581]"
958,Зеленоградский административный округ,Силино,"город Москва, город Зеленоград, корпус 1003",помещение,42.0,-,1016548233,"[37.1796211601721, 55.9870293595185]"
